PERMNO,date,TICKER,RET,RETX
18411,31-03-2014,SO,0.037544,0.037544
18411,30-04-2014,SO,0.043013,0.043013
18411,30-05-2014,SO,-0.033275,-0.044731
18411,30-06-2014,SO,0.036546,0.036546
18411,31-07-2014,SO,-0.034487,-0.046056
18411,29-08-2014,SO,0.025641,0.025641
18411,30-09-2014,SO,-0.016892,-0.016892
18411,31-10-2014,SO,0.074112,0.062085
18411,28-11-2014,SO,0.02308,0.02308
18411,31-12-2014,SO,0.035421,0.035421
18411,30-01-2015,SO,0.032784,0.032784
18411,27-02-2015,SO,-0.086849,-0.0972
18411,31-03-2015,SO,-0.032977,-0.032977
18411,30-04-2015,SO,0.000452,0.000452
18411,29-05-2015,SO,-0.001524,-0.01377
18411,30-06-2015,SO,-0.04097,-0.04097
18411,31-07-2015,SO,0.067542,0.067542
18411,31-08-2015,SO,-0.017382,-0.02951
18411,30-09-2015,SO,0.029717,0.029717
18411,30-10-2015,SO,0.008948,0.008948
18411,30-11-2015,SO,-0.000388,-0.012417
18411,31-12-2015,SO,0.050516,0.050516
18411,29-01-2016,SO,0.045522,0.045522
18411,29-02-2016,SO,-0.004037,-0.015127
18411,31-03-2016,SO,0.073682,0.073682
18411,29-04-2016,SO,-0.03151,-0.03151
18411,31-05-2016,SO,-0.001996,-0.013174
18411,30-06-2016,SO,0.084749,0.084749
18411,29-07-2016,SO,-0.002424,-0.002424
18411,31-08-2016,SO,-0.030093,-0.040561
18411,30-09-2016,SO,-0.000585,-0.000585
18411,31-10-2016,SO,0.005263,0.005263
18411,30-11-2016,SO,-0.081249,-0.092108
18411,30-12-2016,SO,0.050619,0.050619
18411,31-01-2017,SO,0.004879,0.004879
18411,28-02-2017,SO,0.03945,0.028121
18411,31-03-2017,SO,-0.020464,-0.020464
18411,28-04-2017,SO,0.000402,0.000402
18411,31-05-2017,SO,0.027912,0.016265
18411,30-06-2017,SO,-0.053942,-0.053942
18411,31-07-2017,SO,0.001044,0.001044
18411,31-08-2017,SO,0.018986,0.006885
18411,29-09-2017,SO,0.018235,0.018235
18411,31-10-2017,SO,0.062271,0.062271
18411,30-11-2017,SO,-0.008046,-0.019157
18411,29-12-2017,SO,-0.060742,-0.060742
18411,31-01-2018,SO,-0.061967,-0.061967
18411,28-02-2018,SO,-0.032587,-0.045444
18411,29-03-2018,SO,0.037157,0.037157
18411,30-04-2018,SO,0.032691,0.032691
18411,31-05-2018,SO,-0.013443,-0.026453
18411,29-06-2018,SO,0.031403,0.031403
18411,31-07-2018,SO,0.049449,0.049449
18411,31-08-2018,SO,-0.086831,-0.099177
18411,28-09-2018,SO,-0.004111,-0.004111
18411,31-10-2018,SO,0.032798,0.032798
18411,30-11-2018,SO,0.064402,0.051077
18411,31-12-2018,SO,-0.072047,-0.072047
18411,31-01-2019,SO,0.106557,0.106557
18411,28-02-2019,SO,0.034774,0.022428
18411,29-03-2019,SO,0.040048,0.040048
18411,30-04-2019,SO,0.029799,0.029799
18411,31-05-2019,SO,0.016911,0.005261
18411,28-06-2019,SO,0.033271,0.033271
18411,31-07-2019,SO,0.016643,0.016643
18411,30-08-2019,SO,0.047687,0.036655
18411,30-09-2019,SO,0.060247,0.060247
18411,31-10-2019,SO,0.014408,0.014408
18411,29-11-2019,SO,-0.000798,-0.010693
18411,31-12-2019,SO,0.027585,0.027585
18411,31-01-2020,SO,0.105181,0.105181
18411,28-02-2020,SO,-0.133807,-0.142614
18411,31-03-2020,SO,-0.103048,-0.103048
18411,30-04-2020,SO,0.047839,0.047839
18411,29-05-2020,SO,0.017275,0.005993
18411,30-06-2020,SO,-0.091467,-0.091467
18411,31-07-2020,SO,0.053231,0.053231
18411,31-08-2020,SO,-0.032778,-0.044497
18411,30-09-2020,SO,0.039095,0.039095
18411,30-10-2020,SO,0.059572,0.059572
18411,30-11-2020,SO,0.052916,0.041775
18411,31-12-2020,SO,0.026399,0.026399
18411,29-01-2021,SO,-0.04086,-0.04086
18411,26-02-2021,SO,-0.026477,-0.037339
18411,31-03-2021,SO,0.09591,0.09591
18411,30-04-2021,SO,0.064511,0.064511
18411,28-05-2021,SO,-0.024029,-0.034003
18411,30-06-2021,SO,-0.053348,-0.053348
18411,30-07-2021,SO,0.055528,0.055528
18411,31-08-2021,SO,0.039455,0.029122
18411,30-09-2021,SO,-0.057204,-0.057204
